Plant,Period,N,SustainableEngagement_F,SE1_F,SE2_F,SE3_F,RetentionDriver_F,RD1_F,RD2_F,RD3_F,RD4_F,SeniorLeadership_F,SL1_F,SL2_F,ManagerEffectiveness_F,ME1_F,ME2_F,Inclusion_F,I1_F,I2_F,Safety_F,S1_F,S2_F,TrainingDevelopment_F,TD1_F,TD2_F,CareerAdvancement_F,CA1_F,CA2_F,FlexibilityWellbeing_F,FW1_F,SustainableEngagement_UF,SE1_UF,SE2_UF,SE3_UF,RetentionDriver_UF,RD1_UF,RD2_UF,RD3_UF,RD4_UF,SeniorLeadership_UF,SL1_UF,SL2_UF,ManagerEffectiveness_UF,ME1_UF,ME2_UF,Inclusion_UF,I1_UF,I2_UF,Safety_UF,S1_UF,S2_UF,TrainingDevelopment_UF,TD1_UF,TD2_UF,CareerAdvancement_UF,CA1_UF,CA2_UF,FlexibilityWellbeing_UF,FW1_UF
Plant_01,2022_10,116,-6.180950521,-8.317425919,-12.58501097,2.359585332,-3.932040476,-3.932040476,-20.38074706,-6.568873645,-34.19262047,-25.79491603,-24.39823605,-27.191596,-0.833922067,-2.668072287,1.000228153,-8.413798501,-8.32209623,-8.505500771,13.5205331,4.326821519,22.71424468,-6.004351958,-3.623551076,-8.38515284,-6.732209231,-10.7594402,-2.704978262,-14.40926662,-14.40926662,-2.97558087,-3.42573742,-9.520276692,4.019271503,0.22169903,0.22169903,-11.95073518,-1.976786917,-21.92468345,-18.5339301,-20.78918356,-16.27867664,0.177752861,-0.528375072,0.883880794,-2.205048603,-3.482145688,-0.927951517,9.155017604,0.162232043,18.14780317,0.13070999,2.297266763,-2.035846782,-1.947008141,-5.532533256,1.638516973,-7.13549045,-7.13549045
Plant_02,2022_10,167,-11.93204475,-7.315980534,-18.71297109,-9.767182609,-7.281047791,-7.281047791,-9.024181002,-1.086734475,-16.96162753,-18.79450057,-15.75677365,-21.83222749,-7.829206529,-6.09569979,-9.562713268,-9.126166867,-9.66940162,-8.582932115,-28.32594636,-15.26847065,-41.38342206,-15.83297058,-21.83540323,-9.830537932,-10.66830256,-16.68551908,-4.651086047,-19.97399922,-19.97399922,-8.299958396,-2.852745473,-13.34246198,-8.704667732,-0.786660426,-0.786660426,-3.430084338,-0.660454066,-6.199714611,-10.68702524,-7.816603586,-13.5574469,-2.508275166,-0.146380441,-4.870169891,-4.099535491,-4.179027786,-4.020043196,-24.96639474,-11.24082391,-38.69196557,-10.67612462,-18.85697648,-2.495272757,-3.005236512,-9.610584051,3.600111026,-14.85281442,-14.85281442
Plant_03,2022_10,129,-6.683412468,-5.630978445,-16.34069127,1.921432315,-10.62142834,-10.62142834,-14.39325207,-2.312408128,-26.47409601,-25.60780028,-22.70082894,-28.51477162,-1.638457118,-2.4794947,-0.797419535,-4.131124249,-5.97834623,-2.283902268,-5.334719507,-3.933002057,-6.736436957,-9.893686361,-14.87722656,-4.910146158,1.651244391,-2.713463188,6.01595197,-32.03824283,-32.03824283,-2.934729202,0.456914278,-11.9928776,2.731775716,-0.025561061,-0.025561061,-11.08407186,-0.79144209,-21.37670163,-18.2031362,-16.27835758,-20.12791481,-0.785705272,-0.824711279,-0.746699264,1.057991026,1.313112933,0.802869119,-3.328275633,-2.931860446,-3.72469082,-7.691396398,-12.84574313,-2.537049669,2.202951763,-0.600696848,5.006600373,-28.39317556,-28.39317556
Plant_04,2022_10,337,-6.684076537,-8.936478411,-6.164259926,-4.951491273,-0.578413136,-0.578413136,-11.48762314,-3.995457089,-18.9797892,-11.37252781,-12.16555417,-10.57950146,1.456827959,0.258357673,2.655298244,-4.483052714,-2.964953373,-6.001152055,-9.771956413,-0.165146147,-19.37876668,-2.678863367,-5.045836966,-0.311889769,-4.25472023,-8.846005225,0.336564765,-14.29159549,-14.29159549,-2.875544958,-4.865929786,-2.761860648,-0.998844439,0.096353691,0.096353691,-6.08380589,-0.337065235,-11.83054654,-6.737398842,-7.459090447,-6.015707238,2.206300902,1.67667967,2.735922133,0.15030787,2.131565314,-1.830949573,-8.874246696,-1.277960324,-16.47053307,-0.029169269,-0.398937064,0.340598527,-2.686289836,-8.157111174,2.784531503,-8.079417596,-8.079417596
Plant_05,2022_10,104,7.222723856,1.910227244,12.50705464,7.25088968,16.22711072,16.22711072,-1.050508329,2.615476488,-4.716493145,-1.822767486,-2.747042417,-0.898492555,-1.215221802,-2.900167777,0.469724174,-0.710706899,-1.768698172,0.347284375,17.2837957,9.863956798,24.7036346,13.57456051,15.47459216,11.67452886,10.59206133,11.38910092,9.795021738,-6.650645932,-6.650645932,6.121549057,0.449388124,12.02307784,5.892181202,6.421964282,6.421964282,0.134808582,-0.551057474,0.820674638,7.825486344,8.587474264,7.063498423,0.44300485,-0.163653587,1.049663288,1.97057783,2.117117787,1.824037873,12.68618471,5.036237348,20.33613208,11.93442352,14.53201477,9.336832263,8.944901673,11.67568956,6.21411379,-5.577135012,-5.577135012
Plant_06,2022_10,164,-12.44868677,-6.42507941,-22.62309009,-8.297890808,2.859380886,2.859380886,-11.18184041,0.622043092,-22.98572391,-23.18768306,-22.00126381,-24.37410231,-5.354527618,-2.689098359,-8.019956877,-9.580745515,-9.541608426,-9.619882604,-26.81798667,-9.108838699,-44.52713463,-12.68012992,-11.82371928,-13.53654056,-3.725480887,-7.185007903,-0.265953872,-15.1872313,-15.1872313,-9.8658874,-1.764677706,-18.24674168,-9.586242813,-1.481412828,-1.481412828,-7.545773032,0.504289618,-15.59583568,-15.88464499,-17.25680341,-14.51248657,-5.068252185,-2.67303445,-7.46346992,-6.746680226,-6.194509018,-7.298851433,-21.14355262,-4.274269219,-38.01283603,-11.51773408,-11.66404526,-11.3714229,-3.050876939,-3.450952095,-2.650801782,-7.429855462,-7.429855462
Plant_07,2022_10,199,-13.07279226,-2.919747874,-19.86861407,-16.43001484,0.040407973,0.040407973,-5.602112503,-2.03759657,-9.166628437,-8.804792998,-8.482450225,-9.127135771,-6.030161887,-6.393596459,-5.666727314,-3.873857416,-4.427623869,-3.320090963,-21.64884829,-9.951466472,-33.34623011,-4.687422483,-11.85436029,2.479515328,-1.432001294,-5.561034377,2.697031788,-16.82652533,-16.82652533,-7.69800532,0.312782767,-13.37319717,-10.03360156,0.589919443,0.589919443,-3.24990344,-0.179004904,-6.320801976,-5.336477321,-5.830770808,-4.842183834,-4.340528199,-4.903699973,-3.777356426,-3.526310082,-6.562201137,-0.490419027,-21.13436032,-10.67211209,-31.59660855,-2.189078608,-5.872894388,1.494737172,-1.934012127,-5.298604994,1.43058074,-11.93101982,-11.93101982
Plant_08,2022_10,308,-5.532339804,-1.729758841,-6.046721678,-8.820538892,-0.506156016,-0.506156016,-3.604062266,0.305286678,-7.51341121,-4.982108145,-6.955334125,-3.008882165,1.063749227,-0.115452493,2.242950947,1.113742923,1.742838834,0.484647013,-8.596573932,2.983337417,-20.17648528,3.803081987,3.586480272,4.019683702,6.16523815,5.94454547,6.385930829,-19.31298359,-19.31298359,-2.154755824,-0.553110215,-1.313827968,-4.597329287,-1.132980773,-1.132980773,0.002754154,1.684207261,-1.678698952,1.719092737,1.669392346,1.768793129,2.316131724,1.721960799,2.910302648,2.56991781,3.403210335,1.736625285,-6.188690412,2.076696888,-14.45407771,6.165192749,5.67836842,6.652017079,4.792803771,2.797068177,6.788539365,-14.90530684,-14.90530684
Plant_09,2022_10,200,1.284521517,6.125478257,-3.429838561,1.157924856,10.18864918,10.18864918,1.257183979,0.500091872,2.014276086,-2.553536716,2.291419122,-7.398492555,3.054008968,2.6767553,3.431262636,0.474132534,2.67790377,-1.729638702,0.322257237,0.671649106,-0.027134632,1.421873999,-0.640792455,3.484540454,4.707445942,1.619870146,7.795021738,-7.150645932,-7.150645932,1.547371222,2.322833019,-0.209931864,2.529212512,5.152733513,5.152733513,1.557885505,0.33355791,2.7822131,0.267794036,1.279781956,-0.744193884,1.96223562,1.144038721,2.780432519,2.277710018,2.500612933,2.054807103,-0.198430672,-3.079147268,2.682285924,0.385041995,-3.237215996,4.007299987,5.406440135,4.32953571,6.483344559,-2.307904243,-2.307904243
Plant_10,2022_10,163,-7.019488307,-5.916325856,-9.12615758,-6.015981486,-7.121166772,-7.121166772,-1.858017111,-0.055463683,-3.66057054,-14.25299896,-11.73327224,-16.77272568,-5.52182607,-2.752692553,-8.290959587,-8.202247834,-8.475470464,-7.929025205,-17.67617115,-6.316005215,-29.03633709,-10.60362015,-9.881533196,-11.3257071,-10.96586694,-16.00589673,-5.925837158,-23.36843734,-23.36843734,-3.586272456,-1.188589123,-4.136312232,-5.433916014,-4.63867753,-4.63867753,-0.589713526,1.71627396,-2.895701011,-5.392226414,-0.38688471,-10.39756812,-2.102162623,-1.490930604,-2.713394642,-1.617995503,-1.97484719,-1.261143817,-16.50542529,-5.659394181,-27.35145641,-7.49363479,-6.514993774,-8.472275807,-6.236197902,-13.41279558,0.940399774,-22.2772294,-22.2772294
