Plant,Period,N,SeniorLeadership_F,SL1_F,SL2_F,CareerAdvancement_F,CA1_F,Inclusion_F,I1_F,I2_F,ManagerEffectiveness_F,ME1_F,ME2_F,RetentionDriver_F,RD1_F,Safety_F,S1_F,SustainableEngagement_F,SE1_F,SE2_F,SE3_F,VisionDirection_F,VD1_F,SeniorLeadership_UF,SL1_UF,SL2_UF,CareerAdvancement_UF,CA1_UF,Inclusion_UF,I1_UF,I2_UF,ManagerEffectiveness_UF,ME1_UF,ME2_UF,RetentionDriver_UF,RD1_UF,Safety_UF,S1_UF,SustainableEngagement_UF,SE1_UF,SE2_UF,SE3_UF,VisionDirection_UF,VD1_UF
Plant_01,2023_10,103,-16.52558523,-17.52766261,-15.52350785,-3.150918939,-3.150918939,-4.556368194,-5.677680204,-3.435056184,-2.681663276,-3.689492072,-1.673834479,-1.133544505,-1.133544505,5.9747796,5.9747796,-4.804809445,-1.657867855,-9.123037436,-3.633523044,-6.306645034,-6.306645034,-9.416874834,-11.68319126,-7.150558403,5.102881718,5.102881718,-2.690247483,-1.273724601,-4.106770364,0.994308671,1.555887478,0.432729864,-0.617977046,-0.617977046,4.464817629,4.464817629,-1.396621828,0.850265681,-6.823671809,1.783540642,0.403028508,0.403028508
Plant_02,2023_10,52,-17.89787798,-17.88240495,-17.91335102,-17.30327144,-17.30327144,-15.41335102,-16.02122016,-14.80548187,-7.816091954,-5.481874447,-10.15030946,-15.22988506,-15.22988506,-8.364279399,-8.364279399,-18.9758326,-20.72060124,-30.89301503,-5.313881521,-4.252873563,-4.252873563,-21.19805482,-18.14323607,-24.25287356,-16.90981432,-16.90981432,-8.832891247,-6.949602122,-10.71618037,-3.262599469,0.641025641,-7.16622458,-12.00707339,-12.00707339,-9.91158267,-9.91158267,-14.39139405,-12.55526083,-28.68700265,-1.931918656,-2.453580902,-2.453580902
Plant_03,2023_10,73,-26.3673195,-28.39346923,-24.34116977,1.716749634,1.716749634,-4.230526992,-6.06336979,-2.397684193,-1.730738951,-3.7958892,0.334411298,-12.35844143,-12.35844143,-1.725712486,-1.725712486,-21.51359164,-7.469810932,-37.58426898,-19.48669501,0.436272907,0.436272907,-14.11164807,-17.7744268,-10.44886935,4.823589259,4.823589259,0.940554486,1.585698194,0.295410777,-0.62824752,-1.808921672,0.552426632,-2.892215641,-2.892215641,-0.269854535,-0.269854535,-14.49676812,-4.28339571,-29.92514807,-9.281760595,3.315649867,3.315649867
Plant_04,2023_10,407,-7.892680479,-7.737819807,-8.047541151,2.891398753,2.891398753,-5.427053531,-5.484459622,-5.369647439,-0.175759314,1.057532092,-1.409050719,5.082910255,5.082910255,1.44483041,1.44483041,-3.734542355,-6.540862058,-2.684736823,-1.978028185,-1.068220379,-1.068220379,-2.964261585,-2.446770378,-3.481752792,3.497481084,3.497481084,0.24384283,2.783907611,-2.296221951,1.519105312,1.987651988,1.050558637,4.350892972,4.350892972,2.193879435,2.193879435,-0.682580338,-3.398201674,-0.020398986,1.370859647,0.121546673,0.121546673
Plant_05,2023_10,60,-11.74403183,-12.75419982,-10.73386384,-4.995579134,-4.995579134,-4.515915119,-1.405835544,-7.625994695,-1.6622458,-0.097259063,-3.227232538,-2.152961981,-2.152961981,4.712643678,4.712643678,-8.591217212,-5.848806366,-14.86737401,-5.057471264,-2.714412025,-2.714412025,-7.992926614,-6.861184792,-9.124668435,0.782493369,0.782493369,1.808134394,3.435013263,0.181255526,-1.724137931,-1.923076923,-1.525198939,1.582670203,1.582670203,7.652519894,7.652519894,-3.964043619,0.008841733,-10.61007958,-1.290893015,-1.684350133,-1.684350133
Plant_06,2023_10,101,-14.68957638,-13.82680708,-15.55234569,-2.718351411,-2.718351411,-8.930106539,-8.138508811,-9.721704266,-4.979077483,0.991849848,-10.95000481,-4.776724357,-4.776724357,-4.09923751,-4.09923751,-8.954253516,-3.984119897,-17.75516278,-5.123477865,-1.625303114,-1.625303114,-11.39226655,-9.270425716,-13.51410738,-0.05909079,-0.05909079,-1.426189038,0.514221183,-3.366599259,-1.130078525,0.469662351,-2.729819401,-0.925580622,-0.925580622,-3.552100568,-3.552100568,-5.988246039,-2.235382689,-16.25364393,0.524288503,0.345352838,0.345352838
Plant_07,2023_10,124,-23.35693506,-23.7757052,-22.93816491,-8.866546875,-8.866546875,-18.76322695,-22.5348678,-14.99158609,-18.92031032,-19.93596874,-17.90465189,-14.73360714,-14.73360714,-21.5776789,-21.5776789,-15.4191742,-6.762784861,-24.00715895,-15.48757879,-6.424089444,-6.424089444,-15.30475457,-11.75365791,-18.85585123,-5.99170018,-5.99170018,-12.08971507,-14.95208351,-9.227346624,-14.30478309,-13.75103391,-14.85853227,-8.471093238,-8.471093238,-19.7130715,-19.7130715,-13.33680348,-3.808362568,-21.73911183,-14.46293603,-2.329511423,-2.329511423
Plant_08,2023_10,150,-8.24403183,-8.42086649,-8.067197171,-2.328912467,-2.328912467,-1.682581786,1.92749779,-5.292661362,1.671087533,1.236074271,2.106100796,-5.819628647,-5.819628647,-0.620689655,-0.620689655,-9.924550545,-9.515473033,-11.20070734,-9.057471264,-4.714412025,-4.714412025,-2.326259947,-2.861184792,-1.791335102,-0.884173298,-0.884173298,-1.191865606,1.768346596,-4.152077807,0.609195402,-1.58974359,2.808134394,-7.083996463,-7.083996463,-1.347480106,-1.347480106,-6.186265841,-5.3244916,-7.276746242,-5.957559682,-2.684350133,-2.684350133
Plant_09,2023_10,105,-17.33926993,-15.37324744,-19.30529241,2.147278009,2.147278009,-7.492105596,-6.167740306,-8.816470885,-1.900341038,-1.525830491,-2.274851585,2.370847543,2.370847543,-9.096880131,-9.096880131,-5.575344196,1.532146015,-14.15308829,-4.105090312,0.618921309,0.618921309,-7.992926614,-6.384994316,-9.600858911,2.449160035,2.449160035,-1.049008463,1.768346596,-3.866363522,3.990147783,4.505494505,3.474801061,2.535051156,2.535051156,-4.966527725,-4.966527725,-1.42436108,3.818365543,-9.181508147,1.090059366,2.363268915,2.363268915
Plant_10,2023_10,116,-18.72679045,-17.35190097,-20.10167993,-13.78868258,-13.78868258,-10.8377542,-8.129973475,-13.54553492,-6.058797524,-3.890362511,-8.227232538,-7.67020336,-7.67020336,0.057471264,0.057471264,-14.51075744,-14.35455349,-17.16622458,-12.01149425,-7.369584439,-7.369584439,-9.228558798,-9.389920424,-9.067197171,-4.907161804,-4.907161804,-1.870026525,-0.185676393,-3.554376658,-2.5,-1.348364279,-3.651635721,-4.049513705,-4.049513705,-1.887709991,-1.887709991,-9.46212791,-9.703801945,-8.196286472,-10.48629531,-3.580901857,-3.580901857
