Period,Plant,Staffing %,Absenteeism %,Turnover %,Turnover 1st Year %,Tenure <2 %,Tenure >10 %,Efficiency %,Spoilage %,TRIR safety,HFI quality,Age<20,Age20-29,Age30-39,Age40-49,Age50-59,Age60+
2022_01,Plant_01,-0.03125,0.072,0,0,0.864,0.032,0.793,0.0171,0,0.008,0,0.16,0.352,0.264,0.192,0.032
2022_02,Plant_01,-0.0234375,0.0452,0,0,0.863,0.032,0.817,0.0151,0,0.0037,0,0.153225806,0.362903226,0.258064516,0.193548387,0.032258065
2022_03,Plant_01,0.015625,0.0456,0,0,0.852,0.031,0.816,0.1033,0,0.0032,0,0.1640625,0.3671875,0.25,0.1875,0.03125
2022_04,Plant_01,0.0078125,0.045,0.016,0.5,0.858,0.031,0.787,0.0243,0,0.0056,0,0.165354331,0.362204724,0.251968504,0.188976378,0.031496063
2022_05,Plant_01,-0.015625,0.0648,0.032,0.75,0.864,0.024,0.816,0.0305,0,0.0152,0,0.168,0.368,0.24,0.192,0.032
2022_06,Plant_01,-0.030534351,0.035,0.024,0,0.864,0.024,0.801,0.0352,0,0.0072,0,0.168,0.368,0.232,0.2,0.032
2022_07,Plant_01,0,0.0231,0.008,1,0.871,0.023,0.784,0.0538,0,0.0376,0,0.174242424,0.371212121,0.21969697,0.204545455,0.03030303
2022_08,Plant_01,-0.137254902,0.0767,0.031,0.5,0.867,0.023,0.692,0.0023,0,0.0244,0,0.1640625,0.359375,0.234375,0.2109375,0.03125
2022_09,Plant_01,-0.156862745,0.0502,0.024,0.333,0.873,0.024,0.737,0.0136,0,0.0209,0,0.174603175,0.349206349,0.222222222,0.222222222,0.031746032
2022_10,Plant_01,-0.176470588,0.0407,0.032,0,0.872,0.024,0.731,0.0156,0,0.0265,0,0.192,0.368,0.2,0.208,0.032
2022_11,Plant_01,-0.14379085,0.0332,0.008,0,0.87,0.023,0.828,0.0047,0,-0.0359,0,0.183206107,0.358778626,0.198473282,0.229007634,0.030534351
2022_12,Plant_01,-0.124183007,0.0321,0.023,0.333,0.871,0.023,0.774,0.0028,0,0.0034,0,0.204545455,0.348484848,0.196969697,0.21969697,0.03030303
2023_01,Plant_01,-0.089655172,0.0266,0.015,0,0.863,0.023,0.805,0.0224,0,-0.0019,0,0.198473282,0.358778626,0.198473282,0.213740458,0.030534351
2023_02,Plant_01,-0.110344828,0.0354,0.038,0.6,0.859,0.023,0.839,0.0117,0,0.0049,0,0.1796875,0.3515625,0.21875,0.21875,0.03125
2023_03,Plant_01,0.020689655,0.0355,0.021,0.667,0.856,0.021,0.812,0.0204,0,0.0099,0,0.171232877,0.376712329,0.212328767,0.212328767,0.02739726
2022_01,Plant_02,-0.032110092,0.055,0.005,0,0.199,0.289,0.784,0.0375,0,-0.0021,0,0.17535545,0.369668246,0.208530806,0.17535545,0.071090047
2022_02,Plant_02,-0.013761468,0.0311,0.005,1,0.195,0.284,0.799,0.0397,2.86,0.0012,0,0.162790698,0.376744186,0.213953488,0.176744186,0.069767442
2022_03,Plant_02,-0.040909091,0.0316,0.014,0,0.192,0.288,0.7882,0.0422,1.94,0.0104,0,0.163461538,0.375,0.221153846,0.177884615,0.0625
2022_04,Plant_02,-0.040909091,0.0221,0.005,0,0.182,0.287,0.7748,0.0518,2.92,0.0104,0,0.157894737,0.38277512,0.215311005,0.177033493,0.066985646
2022_05,Plant_02,-0.072727273,0.0279,0.029,0.333,0.142,0.294,0.754,0.0575,3.36,0.01532,0,0.151960784,0.387254902,0.215686275,0.181372549,0.06372549
2022_06,Plant_02,-0.081818182,0.0206,0.01,0,0.139,0.297,0.7114,0.0592,2.8,0.0163,0,0.138613861,0.391089109,0.217821782,0.188118812,0.064356436
2022_07,Plant_02,-0.045454545,0.021,0.005,0,0.171,0.281,0.7389,0.0609,2.35,0.0166,0,0.138095238,0.39047619,0.228571429,0.180952381,0.061904762
2022_08,Plant_02,-0.036363636,0.0291,0.01,0,0.186,0.281,0.7475,0.0495,2.05,0.0123,0,0.147619048,0.380952381,0.228571429,0.185714286,0.057142857
2022_09,Plant_02,-0.040909091,0.0282,0.01,0.5,0.182,0.282,0.7312,0.0618,1.79,0.0161,0,0.148325359,0.373205742,0.234449761,0.181818182,0.062200957
