advice,cons,countHelpful,countNotHelpful,date,Date,employmentStatus,id,isAnonymousEmployee,isCurrentEmployee,isLegal,jobEndingYear,jobTitle,lengthOfEmployment,location,pros,ratings/0/rating,ratings/0/title,ratings/1/rating,ratings/1/title,ratings/2/rating,ratings/2/title,ratings/3/rating,ratings/3/title,ratings/4/rating,ratings/4/title,ratings/5/rating,ratings/5/title,ratings/6/rating,ratings/6/title,reviews/0/isOK,reviews/0/title,reviews/1/isOK,reviews/1/title,reviews/2/isOK,reviews/2/title,title,type,url
Sales bonus tied to performance. Leadership without strategic focus,"Poor VP level leadership. Bonus tied to company performance, not individual revenue and sales accomplishments.",1,0,2023-10-25T16:45:46.403,2023-10-25,REGULAR,81271406,FALSE,FALSE,TRUE,2019,Sales Director,4,"Westminster, CO","Great team - innovation, engineering, finance, operations, business planning and sales all worked very well together and with strategic customers to manage consistent strategic failures. Ball produces a globally required and environmentally responsible product focused on reducing weight and increasing recyclability for global customers. Ball offers on the lower range on salary, but had stock options, deferred pay and bonus based on company performance.",4,Work/Life Balance,3,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Good Company, Poor Strategic Plan",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81271406.htm
Do a better job at connecting with people instead of having meetings all day. ,There are to many to list here.,0,0,2023-12-24T02:09:29.587,2023-12-24,REGULAR,82823623,FALSE,FALSE,TRUE,2023,Quality Control Technician,9,"Saint Paul, MN",Not many to talk about.,1,Work/Life Balance,2,Overall,1,Culture & Values,2,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,2,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Meh,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82823623.htm
Leadership needs major improvement. Hire people with qualifications not your friends or because they like what you have to say. Your friends are not going to improve efficiency.  ,"If you think hard work is important, it’s not. If they like you, you’ll go places. If you’re a female rethink working here. You’ll never go anywhere as a female on the floor. They say they want diversity but act otherwise.",0,0,2023-12-04T10:45:14.997,2023-12-04,REGULAR,82309337,FALSE,FALSE,TRUE,2023,Maintenance,4,"Waddell, AZ",Pay and hours are good,1,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Don’t work if you’re female ,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82309337.htm
,"difficult to make changes; a lot of ""heads"" of departments are rejecting change and are difficult to work with.",0,0,2023-10-19T08:43:56.790,2023-10-19,REGULAR,81090138,TRUE,TRUE,TRUE,,,4,"Boston, MA",Donations matching Fair pay volunteer paid time bonus,5,Work/Life Balance,5,Overall,4,Culture & Values,4,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,5,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81090138.htm
,Some old practices and storage techniques,0,0,2023-10-30T18:29:15.230,2023-10-30,REGULAR,81404165,FALSE,FALSE,TRUE,2023,Mechanical Engineer Intern,0,"Fort Collins, CO",Great opportunity while in school Flexible hours Fun people,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Great Opportunity,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81404165.htm
,"If you want things done quickly, this is gonna be tiresome for you.",0,0,2023-10-20T09:20:13.643,2023-10-20,REGULAR,81124554,FALSE,FALSE,TRUE,2022,Business Analyst,1,"Westminster, CO",Good pay Really cool campus,4,Work/Life Balance,4,Overall,5,Culture & Values,5,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,FALSE,Business Outlook,Slow going,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81124554.htm
,"Management, management, management. Rexam got bought out by Ball and they decided to close down all Union plants they purchased. That’s an American company for ya .",0,0,2023-12-20T13:51:49.193,2023-12-20,REGULAR,82757094,FALSE,FALSE,TRUE,2019,Maintenance Technician,20,"Chatsworth, CA","The pay , co workers , schedule",1,Work/Life Balance,1,Overall,1,Culture & Values,3,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Great people , terrible management ",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82757094.htm
,12 hour shifts are brutal,0,0,2023-09-18T21:23:04.053,2023-09-18,REGULAR,80191533,FALSE,FALSE,TRUE,2019,Maintainer,9,"Springdale, AR",The pay is among the highest in the area,3,Work/Life Balance,4,Overall,3,Culture & Values,2,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Long hours uncomfortable environment,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW80191533.htm
Nothing to share at this time.,#NAME?,0,0,2023-08-06T16:35:54.153,2023-08-06,REGULAR,78905324,FALSE,TRUE,TRUE,,IT Architecture,4,"Westminster, CO",#NAME?,4,Work/Life Balance,5,Overall,4,Culture & Values,3,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Benefits - A Company That Cares,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78905324.htm
,"Hot ,very fast passed! Sometimes quadruple tasking gets pretty hectic fast. Month of nights then month of days all year, schedule can be rough on home life.",0,0,2023-07-29T01:24:33.717,2023-07-29,REGULAR,78675576,FALSE,TRUE,TRUE,,Production Tech,0,"Goodyear, AZ","Pays well,plenty of O.T. yearly bonus match up to 3% of stock and 401k vision, dental, health opportunity to grow.",1,Work/Life Balance,4,Overall,2,Culture & Values,3,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Not bad,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78675576.htm
