Date,Rating,Title,Content,Pros,Cons
2023-08-30,5,Great pay makes for good happy ppl and this job pays great with lots of benefits.,"General Laborer (Former Employee) - Middletown, NY - August 30, 2023Featured reviewBall Corporation selected this as a representative reviewGreat pay makes for good happy ppl and this job pays great with lots of benefits.  Lots of time off at the location I worked and lots of employee functions","Pizza, trips and extra week vacation a year",Long hours of noise
2012-09-07,4,Good company that helps employees advance their career.,"Electrical/Electronics Plant Technician (Current Employee) - Gainesville, FL - September 7, 2012Work is as close to a family environment as possible considering that it's an industrial environment.",,
2012-08-30,2,Not a team player environment.,"Hard for someone with high work ethics to workOperator/ Chief Quality Assurance Inspector (Former Employee) - Tampa, FL - August 30, 2012Running a palletizer and inspecting finished product.Daily housekeeping .",good pay,not air conditioned 120 degree 12 hour days. switch from days to nights every month.
2012-08-26,3,Plant closure.,"Maintainer (Current Employee) - Gainesville,Fl. - August 26, 2012Plant closuer. Poor econimic conditions forced decision.",n/a,n/a
2012-08-22,5,I really enjoyed my time at Ball.,"Decco Operator - Quality Control (Former Employee) - Torrance, CA - August 22, 2012Very nice place to work for. Other employees fun to work with. Worked eight hours on eight hours off. Pay and benefits were very nice.",pay & health benefits,a very noisy place.
2012-08-07,5,"Excellent workplace, good culture and environmentPeopleSoft Security Administration (Former Employee) - Broomfield, CO - August 7, 2012I was part of a well put together technical development team, where there was a good amount of mutual support and encouragement.","Co-workers were fun to be with, and were very supportive. Hardest part of the job was when my contract ended and I had to leave.",,
2012-07-09,2,"Being as fair as possibleOperations Technician, Maintainer (Former Employee) - Golden, CO - July 9, 2012I gave this review a fairly poor one due to the circumstances of my departure from Ball.","I hade three very close people on my side of the family die in four months.I was called upon by my remaining family for help on each of these funerals. The company was informed about the third one, and knew I had to leave the state to do this.With my past experience, I called into the attendance line that I would not be in for the four days without pay to take care of this third and hopefully last funeral.Upon returning home I receive a phone call letting me know that I had missed too many days for funerals, even when I provided them with obituaries upon their request.I had hundreds of dollars in tools on the production floor that they shipped to my house along with my termination letter.I just seemed like an error in tragedies to me. I had not missed one day for anything else, so I just took it as a sign.Consno family values. no value all people in place.",,
2012-07-03,5,"Great MoneyProcess Technician (Former Employee) - Chino, CA - July 3, 2012Good company to work for, unfortunately the plastic division was sold a few years ago to another company.",,money,management
2012-07-02,4,"Clean and safe place to workCET (Former Employee) - Middletown, NY - July 2, 2012Good job to have !!!!!! And good pay 21.",00Hr union work place. Lots of overtime.,good pay,4days on 4days off 12hr shift one week days the next week nights
2012-06-10,2,,,,
2012-05-25,4,"Hard work, good rewardsAdministrative Support (Current Employee) - Rome, GA - May 25, 2012Sustainable, profitable, values their workforce, excellent benefits.",,,
2012-05-25,5,"fun to work with hourly employeeswas a maintainer (Former Employee) - Springdale, Arkansas - May 25, 2012work is hard and hot, you learn pretty much on your own, Management lies about you if they want to get rid of you and they only think of there own family or friends when hiring.",Liked working with the co-workers. The hardest part of the job was putting up with the discrimanation and favortism shown from Management. Most enjoyable part was associating with the hourly people.,great pay,bad management
